Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Nashville, Tennessee",view,1065696
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,"Burlington, Massachusetts",view,1158895
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",view,59558
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska",view,836157
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,"Stamford, Connecticut",view,1596993
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,"Bethesda, Maryland",view,1235468
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",view,1157408
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,"Westlake Village, California",view,887905
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities,"Chanhassen, Minnesota",view,1869198
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",view,18926
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",view,1679273
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,"New York City, New York",view,910108
LYFT,"Lyft, Inc.",Industrials,Passenger Ground Transportation,"San Francisco, California",view,1759509
LZ,"LegalZoom.com, Inc.",Industrials,Research & Consulting Services,"Mountain View, California",view,1286139
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,"Monroe, Michigan",view,57131
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",view,912242
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,"Milwaukee, Wisconsin",view,871763
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"Fort Lauderdale, Florida",view,1507605
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,"Pittsburgh, Pennsylvania",view,63296
MATX,"Matson, Inc.",Industrials,Marine Transportation,"Honolulu, Hawaii",view,3453
MBC,"MasterBrand, Inc.",Industrials,Building Products,"Jasper, Indiana",view,1941365
MBIN,Merchants Bancorp,Financials,Regional Banks,"Carmel, Indiana",view,1629019
MC,Moelis & Company,Financials,Investment Banking & Brokerage,"New York City, New York",view,1596967
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",view,907242
MCY,Mercury General,Financials,Property & Casualty Insurance,"Los Angeles, California",view,64996
MD,Pediatrix Medical Group,Health Care,Health Care Services,"Sunrise, Florida",view,893949
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,"Bismarck, North Dakota",view,67716
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,"Madison, Wisconsin",view,1161728
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",view,1698990
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",view,851968
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",view,799292
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,"Atlanta, Georgia",view,1809987
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",view,1278021
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,"Zeeland, Michigan",view,66382
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,"Calabasas, California",view,1578732
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,"South Jordan, Utah",view,856982
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,"Rochester, New York",view,876427
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",view,1179929
MPT,Medical Properties Trust,Real Estate,Health Care REITs,"Birmingham, Alabama",view,1287865
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",view,1049521
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,"Chevy Chase, Maryland",view,2017206
MRTN,"Marten Transport, Ltd.",Industrials,Cargo Ground Transportation,"Mondovi, Wisconsin",view,799167
MSEX,Middlesex Water Company,Utilities,Water Utilities,"Iselin, New Jersey",view,66004
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,"New York City, New York",view,1636519
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",view,891103
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",view,833079
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio",view,1104657
MTUS,Metallus Inc,Materials,Steel,"Canton, Ohio",view,1598428
MTX,Minerals Technologies,Materials,Specialty Chemicals,"New York City, New York",view,891014
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,"Atlanta, Georgia",view,1350593
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,"Carlsbad, California",view,1288469
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,"Thornton, Colorado",view,700923
NABL,"N-able, Inc.",Information Technology,Systems Software,"Wilmington, Delaware",view,1834488
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",view,1974138
NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",view,1593538
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,"Greenwood Village, Colorado",view,1475841
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,"Norwich, New York",view,790359
NE,Noble Corporation,Energy,Oil & Gas Drilling,"Houston, Texas",view,72207
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,"Fort Myers, Florida",view,1077183
NEOG,Neogen,Health Care,Health Care Supplies,"Lansing, Michigan",view,711377
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,"North Charleston, South Carolina",view,1653477
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,"Murfreesboro, Tennessee",view,1047335
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Emeryville, California",view,1547903
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,"Minnetonka, Minnesota",view,1104485
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,"Eau Claire, Wisconsin",view,80172
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,"Charlotte, North Carolina",view,1164863
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,"Tempe, Arizona",view,932696
NSP,Insperity,Industrials,Human Resource & Employment Services,"Houston, Texas",view,1000753
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments,"Amityville, New York",view,69633
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,"Westford, Massachusetts",view,1078075
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,"Warren, Pennsylvania",view,1471265
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",view,814453
NWN,NW Natural,Utilities,Gas Utilities,"Portland, Oregon",view,1733998
NX,Quanex Building Products Corporation,Industrials,Building Products,"Houston, Texas",view,1423221
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,"Dallas, Texas",view,1620393
OFG,OFG Bancorp,Financials,Regional Banks,"San Juan, Puerto Rico",view,1030469
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",view,1821825
OI,"O-I Glass, Inc.",Materials,"Metal, Glass & Plastic Containers","Perrysburg, Ohio",view,812074
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,73756
OMCL,Omnicell,Health Care,Health Care Technology,"Fort Worth, Texas",view,926326
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,"Hawthorne, California",view,1039065
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,Leisure Facilities,"Nassau, Bahamas",view,1758488
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,"Fergus Falls, Minnesota",view,1466593
OUT,Outfront Media,Real Estate,Other Specialized REITs,"New York City, New York",view,1579877
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",view,75288
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,"Teaneck, New Jersey",view,1069899
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,"Houston, Texas",view,821483
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",view,1590955
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,"New York City, New York",view,1845815
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Elkhart, Indiana",view,76605
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,"Tarrytown, New York",view,1295947
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,"Stamford, Connecticut",view,78814
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,"Tampa, Florida",view,1396814
PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",view,1120914
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",view,1474098
PECO,Phillips Edison & Company,Real Estate,Retail REITs,"Cincinnati, Ohio",view,1476204
PENG,"Penguin Solutions, Inc.",Information Technology,Semiconductors,"Milpitas, California",view,1616533
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",view,921738
PFBC,Preferred Bank,Financials,Regional Banks,"Los Angeles, California",view,1492165
PFS,"Provident Financial Services, Inc.",Financials,Regional Banks,"Jersey City, New Jersey",view,1178970
PGNY,Progyny,Health Care,Health Care Services,"New York City, New York",view,1551306
PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail,"Auburn Hills, Michigan",view,1968915
PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments,"Seattle, Washington",view,1114995
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,"Minneapolis, Minnesota",view,1230245
PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York",view,1626115
PLAB,"Photronics, Inc.",Information Technology,Semiconductor Materials & Equipment,"Brookfield, Connecticut",view,810136
PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance,"La Jolla, California",view,1761312
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,"Herndon, Virginia",view,1022408
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,"Neenah, Wisconsin",view,785786
PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs,"Westlake Village, California",view,1464423
POWI,Power Integrations,Information Technology,Semiconductors,"San Jose, California",view,833640
POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment,"Houston, Texas",view,80420
PPLI,People Inc.,Communication Services,Interactive Media & Services,"New York City, New York",view,1800227
PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance,"Birmingham, Alabama",view,1127703
PRAA,"PRA Group, Inc.",Financials,Consumer Finance,"Norfolk, Virginia",view,1185348
PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services,"Schaumburg, Illinois",view,1046568
PRG,"PROG Holdings, Inc.",Financials,Consumer Finance,"Draper, Utah",view,1808834
PRGO,Perrigo,Health Care,Pharmaceuticals,"Grand Rapids, Michigan",view,1585364
PRGS,Progress Software Corporation,Information Technology,Systems Software,"Burlington, Massachusetts",view,876167
PRIM,Primoris Services Corporation,Industrials,Construction & Engineering,"Dallas, Texas",view,1361538
PRK,Park National Corp.,Financials,Regional Banks,"Newark, Ohio",view,805676
PRKS,United Parks & Resorts,Consumer Discretionary,Leisure Facilities,"Orlando, Florida",view,1564902
PRLB,Protolabs,Industrials,Industrial Machinery & Supplies & Components,"Maple Plain, Minnesota",view,1443669
PRSU,"Pursuit Attractions & Hospitality, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Scottsdale, Arizona",view,884219
PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,"Arlington County, Virginia",view,1759655
PSMT,PriceSmart,Consumer Staples,Consumer Staples Merchandise Retail,"San Diego, California",view,1041803
PTCT,"PTC Therapeutics, Inc.",Health Care,Pharmaceuticals,"Warren Township, New Jersey",view,1070081
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,"Houston, Texas",view,889900
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,"Newark, California",view,1377121
PTON,"Peloton Interactive, Inc.",Consumer Discretionary,Leisure Products,"New York City, New York",view,1639825
PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants,"Jeffersontown, Kentucky",view,901491
QDEL,QuidelOrtho,Health Care,Health Care Supplies,"San Diego, California",view,1906324
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,"Foster City, California",view,1117297
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",view,1604778
QTWO,"Q2 Holdings, Inc.",Information Technology,Application Software,"Austin, Texas",view,1410384
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,"San Francisco, California",view,733269
