symbol,companyName,previousClose,trailingPE,dividendYield,marketCap
CRM,"Salesforce, Inc.",271.74,43.86185,56.99999999999999,268503.400448
EVR,Evercore Inc.,193.85,22.135612,159.0,7854.464
WM,"Waste Management, Inc.",222.375,33.01909,147.0,90419.585024
LSTR,"Landstar System, Inc.",149.02,27.29764,96.0,5311.894528
MSGS,Madison Square Garden Sports Co,185.75,80.05085,0.0,4535.950336
LANC,Lancaster Colony Corporation,177.53,31.637962,211.0,4963.511808
SR,Spire Inc.,74.79,18.98005,413.0,4440.69888
META,"Meta Platforms, Inc.",590.115,25.443886,35.0,1539451.650048
VSAT,"ViaSat, Inc.",9.38,0,0.0,1271.832064
BMRN,BioMarin Pharmaceutical Inc.,70.6,31.420815,0.0,13247.55456
NBIX,"Neurocrine Biosciences, Inc.",108.99,33.662613,0.0,11042.162688
RYN,Rayonier Inc. REIT,27.27,11.690376,390.0,4419.68896
BWXT,"BWX Technologies, Inc.",97.07,32.009773,102.0,8990.102528
PUMP,ProPetro Holding Corp.,6.67,0,0.0,709.802752
CRI,"Carter's, Inc.",39.88,7.771485,803.9999999999999,1432.86976
CMA,Comerica Incorporated,56.35,11.492032,492.0,7577.638912
BDC,Belden Inc,99.82,21.120832,20.0,4082.511616
MTD,"Mettler-Toledo International, I",1201.99,30.391552,0.0,25732.524032
DBE,Invesco DB Energy Fund,18.4338,3.9688964,617.0,122.958736
AZPN,"Aspen Technology, Inc.",264.33,2403.0,0.0,16734.308352
PVH,PVH Corp.,63.98,5.226044,24.0,3549.95456
XLP,SPDR Select Sector Fund - Consu,79.33,21.994312,262.0,16710.775808
EWT,iShares Inc iShares MSCI Taiwan,49.63,17.718191,234.0,4272.950016
AVGO,Broadcom Inc.,191.36,90.94883,121.0,919419.2896
UUP,Invesco DB USD Index Bullish Fu,28.42,0,448.00000000000006,0.0
VST,Vistra Corp.,118.0,17.805437,72.0,42187.460608
PRG,"PROG Holdings, Inc.",26.18,5.896247,195.0,1090.20864
FLGT,"Fulgent Genetics, Inc.",16.98,0,0.0,531.500576
AMED,Amedisys Inc,92.59,70.66412,0.0,3037.249536
IBIT,iShares Bitcoin Trust ETF,45.52,0,0.0,0.0
TECH,Bio-Techne Corp,59.88,63.42857,51.0,9826.750464
XLB,Materials Select Sector SPDR,84.87,25.15099,182.0,6183.999488
FN,Fabrinet,223.66,24.636057,0.0,7917.711872
BX,Blackstone Inc.,136.53,38.91989,280.0,171696.996352
QCOM,QUALCOMM Incorporated,151.94,16.891047,217.0,173177.48736
AIN,Albany International Corporatio,72.42,26.42143,146.0,2285.982208
PNW,Pinnacle West Capital Corporati,91.82,17.883589,382.0,11160.767488
DGII,Digi International Inc.,28.45,30.239584,0.0,1071.183808
GRMN,Garmin Ltd.,208.62,29.341562,168.0,41155.21536
PODD,Insulet Corporation,244.67,44.270363,0.0,17938.55488
IVZ,Invesco Ltd,14.95,12.949153,537.0,6839.357952
FOXF,Fox Factory Holding Corp.,24.31,155.0,0.0,1033.760704
MCK,McKesson Corporation,643.69,29.84993,44.0,81515.790336
PLTR,Palantir Technologies Inc.,79.62,453.89474,0.0,202263.822336
DBA,Invesco DB Agriculture Fund,26.62,11.1739855,409.0,730.296
PLUS,ePlus inc.,62.57,16.388746,0.0,1705.579008
NTCT,"NetScout Systems, Inc.",20.47,0,0.0,1487.474944
ACI,"Albertsons Companies, Inc.",21.19,11.842697,285.0,12213.30944
FTNT,"Fortinet, Inc.",93.42,42.588497,0.0,74013.745152
GOLF,Acushnet Holdings Corp.,64.4,19.367952,144.0,3911.565568
SHAK,"Shake Shack, Inc.",82.77,364.50003,0.0,3720.769536
EXTR,"Extreme Networks, Inc.",14.18,0,0.0,1928.930176
FXC,Invesco CurrencyShares Canadian,67.7523,0,197.0,0.0
ACN,Accenture plc,317.07,26.746645,186.0,199415.545856
KO,Coca-Cola Company (The),69.11,28.113823,295.0,297457.188864
HRL,Hormel Foods Corporation,29.49,21.405798,393.0,16244.430848
PFE,"Pfizer, Inc.",25.6,18.241135,669.0,145869.70112
TFIN,"Triumph Financial, Inc.",59.8,113.12962,0.0,1430.746112
FICO,Fair Isaac Corporation,1743.54,82.64004,0.0,43994.595328
CMC,Commercial Metals Company,44.49,41.747746,155.0,5266.170368
CBT,Cabot Corporation,81.62,11.093208,206.0,4517.193216
UGA,United States Gasoline Fund LP,59.65,0,0.0,0.0
CENX,Century Aluminum Company,19.4,6.100918,0.0,1841.251328
NDAQ,"Nasdaq, Inc.",71.93,37.95855,131.0,42135.126016
SABR,Sabre Corporation,3.21,0,0.0,1285.613184
ENTG,"Entegris, Inc.",94.42,50.968914,41.0,14866.364416
AESI,Atlas Energy Solutions Inc.,17.26,32.21818,564.0,2936.25728
NEU,NewMarket Corp,519.38,10.89299,209.0,4982.674432
RCL,Royal Caribbean Cruises Ltd.,207.9,19.380257,141.0,57060.728832
MKC,"McCormick & Company, Incorporat",80.73,27.510273,224.00000000000003,21529.647104
GE,GE Aerospace,192.42,32.366173,73.0,210233.573376
HAFC,Hanmi Financial Corporation,21.3,10.658537,494.00000000000006,659.787008
YUM,"Yum! Brands, Inc.",153.42,29.646273,183.0,43274.768384
APO,"Apollo Global Management, Inc. ",130.24,18.324694,138.0,76626.878464
IYR,iShares U.S. Real Estate ETF,92.74,31.57253,243.00000000000003,4669.9904
SPGI,S&P Global Inc.,479.85,39.36003,79.0,149741.617152
NEE,"NextEra Energy, Inc.",72.73,21.824928,308.0,151294.558208
CHX,ChampionX Corporation,28.49,17.800001,129.0,5603.795968
CHDN,"Churchill Downs, Incorporated",107.61,19.454226,37.0,8120.40192
HTZ,"Hertz Global Holdings, Inc",3.37,0,0.0,1170.571648
LPG,Dorian LPG Ltd.,21.26,5.576923,1701.0000000000002,930.997888
SNDK,Sandisk Corporation,48.44,0,0.0,6296.789504
EOG,"EOG Resources, Inc.",121.09,11.015111,315.0,68642.512896
MDB,"MongoDB, Inc.",185.1,0,0.0,14916.31616
ACM,AECOM,93.12,21.958431,109.00000000000001,12616.165376
CTRA,Coterra Energy Inc.,26.72,18.42,318.0,21113.491456
WU,Western Union Company (The),10.54,3.8978102,880.0000000000001,3609.146112
CHH,"Choice Hotels International, In",127.89,21.012903,88.0,6087.736832
AAP,Advance Auto Parts Inc.,38.14,0,266.0,2247.615232
TAP,Molson Coors Beverage Company,58.76,11.143926,315.0,12089.981952
TEL,TE Connectivity plc,141.22,23.045815,195.0,43523.735552
GVA,Granite Construction Incorporat,72.42,28.263361,70.0,3216.332288
NPK,"National Presto Industries, Inc",88.28,15.293815,112.00000000000001,632.002176
TMP,Tompkins Financial Corporation,63.39,12.967807,385.0,930.303488
DHI,"D.R. Horton, Inc.",125.29,8.966053,126.0,40674.697216
DAY,"Dayforce, Inc.",52.18,503.54544,0.0,8766.132224
AR,Antero Resources Corporation,36.37,208.72221,0.0,11691.032576
BRBR,"BellRing Brands, Inc.",66.25,31.830193,0.0,8656.5376
MSEX,Middlesex Water Company,61.57,25.186234,219.0,1112.781312
APTV,Aptiv PLC,62.17,9.08477,0.0,14507.870208
IDXX,"IDEXX Laboratories, Inc.",406.29,38.92221,0.0,33775.599616
ADM,Archer-Daniels-Midland Company,47.25,12.926027,432.0,22632.577024
ANIP,"ANI Pharmaceuticals, Inc.",61.455,0,0.0,1359.94496
PBF,PBF Energy Inc.,19.67,0,530.0,2391.59168
BDN,Brandywine Realty Trust,4.44,0,1325.0,786.34464
SLM,SLM Corporation,28.36,10.717949,178.0,6156.977152
URBN,"Urban Outfitters, Inc.",49.87,11.4577465,0.0,4504.274944
ALLY,Ally Financial Inc.,32.99,18.933334,352.0,10466.41152
EVTC,"Evertec, Inc.",35.59,21.0,55.00000000000001,2311.100416
AIT,Applied Industrial Technologies,218.93,22.72093,82.0,8623.763456
MO,"Altria Group, Inc.",58.55,9.007646,693.0,99596.77952
JBSS,"John B. Sanfilippo & Son, Inc.",70.39,17.057693,120.0,825.839552
TILE,"Interface, Inc.",18.78,12.9864855,21.0,1120.775808
THS,"Treehouse Foods, Inc.",27.85,55.137257,0.0,1411.722496
UFPT,"UFP Technologies, Inc.",209.62,27.796175,0.0,1618.200832
TXRH,"Texas Roadhouse, Inc.",167.78,26.659971,158.0,11462.064128
ROCK,"Gibraltar Industries, Inc.",63.17,14.6704035,0.0,1986.179968
CHRW,"C.H. Robinson Worldwide, Inc.",96.32,25.487047,252.0,11678.296064
FITB,Fifth Third Bancorp,37.48,12.277069,384.0,25620.754432
CFR,"Cullen/Frost Bankers, Inc.",119.87,13.824127,310.0,7876.495872
GIS,"General Mills, Inc.",59.85,12.947826,403.0,32831.318016
LMAT,"LeMaitre Vascular, Inc.",78.82,42.44042,98.0,1847.774976
SLP,"Simulations Plus, Inc.",25.38,65.2,92.0,524.009792
SHEN,Shenandoah Telecommunications C,12.09,0,81.0,673.635328
LEG,"Leggett & Platt, Incorporated",7.94,0,247.00000000000003,1092.692736
WEC,"WEC Energy Group, Inc.",105.11,22.10145,334.0,33920.026624
TJX,"TJX Companies, Inc. (The)",112.81,26.586853,132.0,127322.365952
TCBI,"Texas Capital Bancshares, Inc.",71.46,58.320316,0.0,3443.20896
FSS,Federal Signal Corporation,75.31,22.051428,73.0,4715.474432
BOOT,"Boot Barn Holdings, Inc.",100.91,18.180357,0.0,3114.673152
ENOV,Enovis Corporation,35.81,0,0.0,2110.493952
CPRX,"Catalyst Pharmaceuticals, Inc.",20.87,16.045803,0.0,2552.879104
NSC,Norfolk Southern Corporation,227.69,20.077787,231.99999999999997,52600.619008
UNM,Unum Group,77.15,8.332981,213.0,13935.410176
ETSY,"Etsy, Inc.",44.4,19.425533,0.0,4887.837184
NPO,Enpro Inc.,169.38,51.063953,71.0,3691.284224
AZN,Astrazeneca PLC,76.51,34.488888,200.0,240585.60512
PK,Park Hotels & Resorts Inc.,10.9,11.237624,881.0,2291.15648
LH,Labcorp Holdings Inc.,235.65,27.096153,120.0,20048.66048
WBD,"Warner Bros. Discovery, Inc. - ",9.89,0,0.0,25014.003712
KBR,"KBR, Inc.",49.845,18.157707,130.0,6709.51168
TPL,Texas Pacific Land Corporation,1254.84,67.12754,48.0,30364.52864
CLB,Core Laboratories Inc.,14.7,23.075756,26.0,713.17216
AOM,iShares Core 40/60 Moderate All,43.57,20.559206,303.0,0.0
HSY,The Hershey Company,171.94,15.57365,322.0,34454.401024
XRAY,DENTSPLY SIRONA Inc.,15.0,0,411.00000000000006,3096.315648
HXL,Hexcel Corporation,55.46,35.52201,120.0,4582.31296
VLTO,Veralto Corp,95.73,29.326347,45.0,24247.619584
PAYC,"Paycom Software, Inc.",202.82,23.317265,72.0,11644.591104
AZO,"AutoZone, Inc.",3545.65,23.866465,0.0,59534.077952
BOH,Bank of Hawaii Corporation,65.97,19.68208,411.00000000000006,2707.676416
RSP,Invesco S&P 500 Equal Weight ET,169.43,20.931932,148.0,26857.7792
ROKU,"Roku, Inc.",67.63,0,0.0,9892.083712
LRN,"Stride, Inc.",118.39,20.35906,0.0,5283.944448
MP,MP Materials Corp.,24.38,0,0.0,4385.148928
WCC,"WESCO International, Inc.",158.0363,12.479693,111.00000000000001,7946.90048
MTRN,Materion Corporation,82.63,305.3214,63.0,1775.216896
SBCF,Seacoast Banking Corporation of,25.25,18.274649,278.0,2221.634048
SEM,Select Medical Holdings Corpora,16.58,32.882355,149.0,2162.709504
PFG,Principal Financial Group Inc,80.54,12.392216,362.0,18672.766976
AMH,American Homes 4 Rent,34.36,32.77778,339.0,14921.525248
ON,ON Semiconductor Corporation,42.15,11.898071,0.0,18201.171968
ABNB,"Airbnb, Inc.",119.38,29.820389,0.0,76337.840128
AVNT,Avient Corporation,39.49,21.89674,268.0,3684.089344
UTHR,United Therapeutics Corporation,305.39,12.469155,0.0,13798.823936
BKE,"Buckle, Inc. (The)",35.15,9.170051,387.0,1834.457472
TYL,"Tyler Technologies, Inc.",553.41,93.42952,0.0,24233.115648
EA,Electronic Arts Inc.,137.72,35.295166,55.00000000000001,36150.325248
THC,Tenet Healthcare Corporation,119.51,3.751376,0.0,11668.493312
ACLS,"Axcelis Technologies, Inc.",58.17,9.507318,0.0,1880.050304
COF,Capital One Financial Corporati,166.12,14.841969,140.0,65538.842624
UVV,Universal Corporation,54.7,11.365503,585.0,1366.740864
STC,Stewart Information Services Co,70.74,27.440615,279.0,1991.802368
CDP,COPT Defense Properties,26.27,21.780489,455.0,3075.813632
CCOI,"Cogent Communications Holdings,",67.61,0,587.0,3379.817472
OII,"Oceaneering International, Inc.",19.56,13.98611,0.0,2027.312512
NSP,"Insperity, Inc.",87.31,36.785122,270.0,3314.23232
GWW,"W.W. Grainger, Inc.",953.54,25.001808,85.0,46621.24544
CORN,Teucrium Corn Fund ETV,18.89,0,0.0,0.0
HAE,Haemonetics Corporation,65.93,25.795275,0.0,3291.560704
MELI,"MercadoLibre, Inc.",1989.7,53.759842,0.0,102478.200832
CVCO,"Cavco Industries, Inc.",491.58,25.0037,0.0,4061.264896
OUT,OUTFRONT Media Inc.,15.69,10.567741,733.0,2735.869184
XHR,"Xenia Hotels & Resorts, Inc.",12.31,83.933334,445.0,1332.65152
TWO,Two Harbors Investment Corp,13.37,5.7721524,1316.0,1423.020928
NABL,"N-able, Inc.",7.84,47.6875,0.0,1441.696256
VSCO,Victorias Secret & Co.,17.65,9.058537,0.0,1460.003072
VTSMX,Vanguard Index Trust Total Stoc,131.91,24.35345,114.99999999999999,1141774.221312
SCHW,Charles Schwab Corporation (The,73.51,25.789297,140.0,139844.386816
ALB,Albemarle Corporation,71.995,0,215.0,8845.017088
DLR,"Digital Realty Trust, Inc.",144.72,92.856255,328.0,50926.678016
ROIV,Roivant Sciences Ltd.,10.42,0,0.0,7606.432256
TXT,Textron Inc.,71.97,16.864056,11.0,13292.84096
GME,GameStop Corporation,21.95,115.24999,0.0,10298.739712
SPY,SPDR S&P 500,551.42,24.940193,119.0,516536.89344
ATGE,Adtalem Global Education Inc.,93.51,18.537144,0.0,3626.610432
MCO,Moody's Corporation,437.8,39.683834,84.0,80381.599744
VPL,Vanguard FTSE Pacific ETF,73.28,15.167401,306.0,1370.288256
ORI,Old Republic International Corp,36.59,11.537037,310.0,9277.380608
VRTX,Vertex Pharmaceuticals Incorpor,502.92,0,0.0,129619.88608
KD,"Kyndryl Holdings, Inc.",33.75,60.81035,0.0,8207.117312
MOG-A,Moog Inc.,172.0,26.97256,66.0,5589.711872
BKNG,Booking Holdings Inc. Common St,4295.4,25.840403,86.0,146535.612416
GEO,Geo Group Inc (The) REIT,25.55,121.00001,0.0,3736.889344
XRX,Xerox Holdings Corporation,5.8,0,865.0,725.37696
WMG,Warner Music Group Corp.,32.11,33.58163,219.0,17125.080064
BGS,"B&G Foods, Inc.",7.17,0,1043.0,576.917504
MDU,"MDU Resources Group, Inc.",16.45,19.181818,308.0,3449.1072
VICI,VICI Properties Inc.,31.55,12.597656,536.0,34066.96448
GNW,Genworth Financial Inc,6.45,9.471429,0.0,2776.97536
DG,Dollar General Corporation,79.95,15.463796,299.0,17378.551808
AXON,"Axon Enterprise, Inc.",534.56,116.37238,0.0,42622.476288
NBTB,NBT Bancorp Inc.,42.51,14.565656,314.0,2044.199296
GTES,Gates Industrial Corporation pl,18.8,26.581081,0.0,5023.993344
ROG,Rogers Corporation,72.66,55.99286,0.0,1451.633792
NWE,"NorthWestern Energy Group, Inc.",55.13,15.369863,471.0,3440.736256
FTV,Fortive Corporation,71.82,31.233051,43.0,25082.773504
PARR,"Par Pacific Holdings, Inc. Comm",12.96,0,0.0,770.850432
PLAY,"Dave & Buster's Entertainment, ",17.43,8.365385,0.0,669.950464
CHCO,City Holding Company,115.07,14.930379,268.0,1730.1024
MNST,Monster Beverage Corporation,54.34,36.973156,0.0,53611.327488
PB,"Prosperity Bancshares, Inc.",68.72,14.071286,326.0,6769.367552
CRUS,"Cirrus Logic, Inc.",98.34,18.149092,0.0,5304.923648
VCIT,Vanguard Intermediate-Term Corp,81.16,0,438.0,0.0
FBTC,Fidelity Wise Origin Bitcoin Fu,69.98,0,0.0,0.0
QRVO,"Qorvo, Inc.",69.12,254.96428,0.0,6667.597312
LDOS,"Leidos Holdings, Inc.",132.46,14.593275,119.0,17648.521216
HUM,Humana Inc.,251.73,25.313314,140.0,30520.846336
VNO,Vornado Realty Trust,35.4,920.5,200.99999999999997,7653.478912
FOX,Fox Corporation,47.12,10.401288,111.00000000000001,22810.175488
STAA,STAAR Surgical Company,17.41,0,0.0,840.998016
QDEL,QuidelOrtho Corporation,35.6,0,0.0,2436.167424
MDLZ,"Mondelez International, Inc.",64.69,18.804092,292.0,83186.909184
GNL,"Global Net Lease, Inc.",7.8,0,1365.0,1880.26112
EPD,Enterprise Products Partners L.,32.97,12.486989,637.0,72745.869312
JCI,Johnson Controls International ,77.46,37.394363,186.0,52580.073472
SSTK,"Shutterstock, Inc.",19.41,19.356436,675.0,682.17184
CXM,"Sprinklr, Inc.",9.2,20.772728,0.0,2325.060864
FBK,FB Financial Corporation,45.43,18.713709,164.0,2166.335232
BITW,Bitwise 10 Crypto Index Fund,50.98,0,0.0,0.0
APP,Applovin Corporation,272.0,64.51322,0.0,99570.311168
OTTR,Otter Tail Corporation,82.42,11.629009,252.0,3491.15392
AAON,"AAON, Inc.",78.31,40.66337,49.0,6702.402048
AM,Antero Midstream Corporation,16.92,20.493977,529.0,8141.088256
ANDE,"The Andersons, Inc.",41.09,12.623494,186.0,1432.810752
PCRX,"Pacira BioSciences, Inc.",22.69,0,0.0,1058.336704
HLI,"Houlihan Lokey, Inc.",156.0,30.399618,143.0,11152.32256
HMN,Horace Mann Educators Corporati,40.98,16.91129,334.0,1714.171648
CART,Maplebear Inc.,37.46,24.411392,0.0,10207.24224
AVA,Avista Corporation,39.03,17.445415,491.0,3201.046016
GTY,Getty Realty Corporation,30.24,24.544,613.0,1688.249856
ELME,Elme Communities,16.9,0,417.0,1518.505344
PAYX,"Paychex, Inc.",143.56,30.55462,270.0,52367.5648
SRE,DBA Sempra,67.85,15.884615,367.0,45738.799104
TGTX,"TG Therapeutics, Inc.",37.06,272.26666,0.0,6414.779904
BC,Brunswick Corporation,56.22,26.113121,298.0,3799.56864
PRAA,"PRA Group, Inc.",18.82,10.949721,0.0,774.38816
EBND,SPDR Bloomberg Emerging Markets,20.25,0,569.0,0.0
PECO,"Phillips Edison & Company, Inc.",34.43,68.254906,353.0,4814.04928
TSN,"Tyson Foods, Inc.",60.0,20.22973,334.0,21328.896
ABT,Abbott Laboratories,129.89,16.58508,186.0,219755.692032
HBI,Hanesbrands Inc.,5.76,0,0.0,2072.749696
PII,Polaris Inc.,42.23,21.707693,633.0,2374.708992
EPAM,"EPAM Systems, Inc.",180.16,23.307398,0.0,10395.162624
PR,Permian Resources Corporation,12.93,9.4,440.00000000000006,10951.691264
USB,U.S. Bancorp,40.92,11.087071,476.0,65467.580416
KNF,Knife Riv Holding Co.,88.29,26.278873,0.0,5281.398784
CUBE,CubeSmart,40.73,24.226742,499.0,9545.554944
AAT,"American Assets Trust, Inc.",19.65,21.414892,676.0,1556.447488
MIDD,The Middleby Corporation,147.69,19.198734,0.0,8133.24288
BBWI,"Bath & Body Works, Inc.",28.45,8.171745,271.0,6389.169152
TMDX,"TransMedics Group, Inc.",64.35,64.04672,0.0,2306.884352
MMS,"Maximus, Inc.",66.84,14.463363,179.0,3798.452992
HQY,"HealthEquity, Inc.",93.97,89.366974,0.0,8441.814528
CW,Curtiss-Wright Corporation,314.15,30.583885,26.0,12150.9888
AZTA,"Azenta, Inc.",36.56,0,0.0,1681.59808
PCH,PotlatchDeltic Corporation - Co,44.015,160.75,400.0,3546.24768
CI,The Cigna Group,311.99,25.83815,193.0,85633.851392
HON,Honeywell International Inc.,206.69,24.049368,216.0,136138.530816
CBOE,"Cboe Global Markets, Inc.",215.13,29.674063,118.0,22400.99328
RBA,"RB Global, Inc.",94.43,47.666664,121.0,17700.800512
ATEN,"A10 Networks, Inc.",16.38,25.164179,142.0,1246.840832
SKT,Tanger Inc.,31.75,36.30682,344.0,3600.924928
HWC,Hancock Whitney Corporation,49.61,9.698863,351.0,4410.558464
TMHC,Taylor Morrison Home Corporatio,58.09,7.0967345,0.0,5971.00288
MKTX,"MarketAxess Holdings, Inc.",212.01,29.13306,143.0,8005.281792
AGO,Assured Guaranty Ltd.,84.14,12.558952,158.0,4321.049088
EYE,"National Vision Holdings, Inc.",11.56,0,0.0,917.827776
GEN,Gen Digital Inc.,26.33,26.500002,185.0,16658.61632
NYT,New York Times Company (The),47.82,27.62147,147.0,7983.883776
EPAC,Enerpac Tool Group Corp.,42.54,27.999998,9.0,2391.432704
GM,General Motors Company,47.11,7.588697,99.0,48098.394112
RSG,"Republic Services, Inc.",229.28,35.693844,100.0,72453.24288
ROL,"Rollins, Inc.",50.73,53.541668,128.0,24932.907008
EXPO,"Exponent, Inc.",81.83,39.208534,145.0,4204.189952
TRMK,Trustmark Corporation,33.12,46.094593,282.0,2072.704384
RRX,Regal Rexnord Corporation,114.89,39.70068,120.0,7734.847488
CXW,"CoreCivic, Inc.",19.86,32.774193,0.0,2212.11648
BKU,"BankUnited, Inc.",32.97,11.185065,337.0,2575.17568
SXC,"SunCoke Energy, Inc.",9.16,8.366072,512.0,790.377344
ED,"Consolidated Edison, Inc.",104.57,20.307253,320.0,37570.392064
OFG,OFG Bancorp,39.66,9.607565,295.0,1844.808064
IAC,IAC Inc.,43.53,0,0.0,3711.103744
WAFD,"WaFd, Inc.",27.78,12.894977,382.0,2303.008512
NATL,NCR Atleos Corporation,25.57,21.317072,0.0,1915.15328
CCS,"Century Communities, Inc.",67.41,6.5451927,170.0,2107.528832
CNP,"CenterPoint Energy, Inc (Holdin",34.61,22.455696,248.0,23158.75328
NWN,Northwest Natural Holding Compa,41.11,20.605913,469.00000000000006,1683.176576
CPRI,Capri Holdings Limited,21.12,0,0.0,2533.885952
CTA,Simplify Exchange Traded Funds ,29.48,0,466.0,0.0
KMI,"Kinder Morgan, Inc.",26.54,23.162394,424.0,60215.115776
FAF,First American Corporation (New,62.62,50.658733,338.0,6561.724416
AAL,"American Airlines Group, Inc.",10.67,8.766129,0.0,7147.851264
CAT,"Caterpillar, Inc.",333.31,15.410163,166.0,162324.824064
EWH,iShares MSCI Hong Kong Index Fu,18.17,15.769788,396.0,1607.636224
REXR,"Rexford Industrial Realty, Inc.",38.79,33.325,430.0,9453.277184
CTAS,Cintas Corporation,190.58,46.46747,81.0,77819.420672
BIL,SPDR Bloomberg 1-3 Month T-Bill,91.56,0,492.0,0.0
ADUS,Addus HomeCare Corporation,90.78,21.342789,0.0,1640.649344
WS,"Worthington Steel, Inc.",25.73,9.246527,240.0,1351.570944
TTGT,"TechTarget, Inc.",13.47,0,0.0,941.7664
AES,The AES Corporation,12.28,5.194093,566.0,8763.501568
APPF,"AppFolio, Inc.",206.66,39.052254,0.0,7890.376704
TSCO,Tractor Supply Company,51.66,25.406864,178.0,27550.134272
AHCO,AdaptHealth Corp.,9.61,15.737705,0.0,1294.723328
